video_id,num_frames,duration_sec,caption
rCpniO_-2io_000038_000048,150,10.0,"A construction worker is seen climbing a ladder in an indoor setting, wearing a safety vest and helmet, and working on a construction site."
rMhNv8vq1FA_000006_000016,300,10.0,"A person is seen navigating a river with a rope, skillfully maneuvering through the water and creating a splash."
rqjNSsEZhkA_000043_000053,300,10.01,"A person is climbing a tall, dark structure, possibly a tower or a building, using a rope to ascend."
sJNoIvivWN8_000050_000060,300,10.01,"A person is climbing a wooden structure with ropes and a ladder, with another person standing nearby."
t1w9vTiLHbQ_000043_000053,170,10.0,"A group of people are climbing a metal bridge, with one person wearing a helmet and another wearing a white shirt."
tbVA33t7pys_000059_000069,300,10.0,"A person wearing a red helmet and a harness is climbing a steep rock face, using a rope to ascend."
vGlsp8wOH-8_000085_000095,300,10.01,"A person climbs a steep rock face, using a rope to ascend, with a rocky landscape and a clear blue sky in the background."
vu6UXc6eDoc_000049_000059,250,10.0,"A person is climbing a rocky mountain with a rope and harness, wearing a green shirt and black pants, against a clear blue sky."
w209jK13i-g_000055_000065,300,10.0,"A person is climbing a steep rock face, using a rope to ascend the cliff."
xmvp3eKN7EM_000000_000010,250,10.0,"A man is climbing a steep rock face, using a rope to ascend."
CyaLHZqlBEQ_000045_000055,150,10.018701576275715,"A man and a woman are sitting on a stage, engaged in a conversation."
D-KF8cjoRPc_000078_000088,300,10.01,"A group of people dressed in elaborate costumes perform on a stage, with a backdrop featuring a sign that reads ""FESTIVAL"" and ""WELCOME TO THE WESTERN WORLD."""
D2QfAj8QnX8_001196_001206,250,10.0,"A group of people dressed in costumes, including a man in a white robe and a woman in a blue robe, are performing a religious ceremony in front of a red banner with the word ""SOTE DE MADA"" written on it."
D3VV5XyHzpE_000073_000083,300,10.0,"A group of people are dancing in a room decorated with colorful murals, performing a lively dance."
DYxfiuZfszM_000300_000310,300,10.01,"A group of women are gathered on a stage, with one woman holding a baby, and they are dressed in formal attire, suggesting a formal event or ceremony."
DblyPWY_NOc_001305_001315,300,10.01,"A group of people are performing on a stage with a large audience watching, dressed in colorful costumes and performing a dance."
Dm8dWz-pQ1M_000296_000306,300,10.025732713965846,"A man and a woman are sitting on chairs on a stage, engaged in a conversation."
DoQvlDwu1Y8_000523_000533,300,10.01,"A man in a cowboy hat and a plaid shirt is interacting with a young girl in a red hat and a white shirt, possibly at a market or festival."
DrAonHCvOhE_001358_001368,250,10.0,"A group of people are gathered in a room with a black floor and a white wall, with a person sitting on a stool and another person playing a guitar."
3E7Jib8Yq5M_000118_000128,250,10.0,"A man wearing a blue shirt and a helmet is climbing a tall building, with another man wearing a red shirt and a helmet climbing a different building."
CPMhjRqrLxI_001552_001562,300,10.01,"Two men are climbing a tall building, with one man wearing a red shirt and the other in a black shirt, while a woman in a red shirt and black pants stands nearby."
J_faWIyCzdc_000033_000043,230,7.674333333333333,"A person is seen walking down a narrow, rocky path, with a large, colorful painting on the side of the path."
Kbmv94BqZzU_000072_000082,300,10.01,"A person in a purple and blue outfit is climbing a rock face, with another person in a red shirt and blue helmet nearby."
LFMlCcsLdKA_000126_000136,250,10.0,"A person wearing a safety harness and helmet is climbing a building, using ropes and a harness to ascend."
MpnTZgY650k_000037_000047,250,10.0,"A person is climbing a building using ropes and harnesses, with a clear blue sky in the background."
ND-5jaduGFg_000024_000034,120,10.01,"A group of people are climbing a building, with one person climbing the side of the building and another person climbing the roof."
NHXo1PE12BU_000075_000085,300,10.01,"A person is climbing a steep rock face with a rope attached to their harness, using a rope to ascend the rocky terrain."
NkLeMkOcftM_000037_000047,250,10.0,"A person is parachuting from a helicopter in a cloudy sky, with a cityscape in the background."
Pah5xylI7BU_000188_000198,250,10.0,"A group of people are climbing a rocky mountain, with a man wearing a yellow helmet and a woman wearing a blue helmet, and a man wearing a yellow helmet and a woman wearing a blue helmet, climbing up the mountain."
